gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-DKTatlas_lh_volume_lateraloccipital	DKTatlas	lh	occipital	lateraloccipital
aparc-DKTatlas_lh_volume_lateralorbitofrontal	DKTatlas	lh	frontal	lateralorbitofrontal
aparc-DKTatlas_lh_volume_lingual	DKTatlas	lh	occipital	lingual
aparc-DKTatlas_lh_volume_medialorbitofrontal	DKTatlas	lh	frontal	medialorbitofrontal
aparc-DKTatlas_lh_volume_middletemporal	DKTatlas	lh	temporal	middletemporal
aparc-DKTatlas_lh_volume_parahippocampal	DKTatlas	lh	insula	parahippocampal
aparc-DKTatlas_lh_volume_paracentral	DKTatlas	lh	frontoparietal	paracentral
aparc-DKTatlas_lh_volume_parsopercularis	DKTatlas	lh	frontal	parsopercularis
aparc-DKTatlas_lh_volume_parsorbitalis	DKTatlas	lh	frontal	parsorbitalis
aparc-DKTatlas_lh_volume_parstriangularis	DKTatlas	lh	frontal	parstriangularis
aparc-DKTatlas_lh_volume_pericalcarine	DKTatlas	lh	occipital	pericalcarine
aparc-DKTatlas_lh_volume_postcentral	DKTatlas	lh	parietal	postcentral
aparc-DKTatlas_lh_volume_posteriorcingulate	DKTatlas	lh	cingulate	posteriorcingulate
aparc-DKTatlas_lh_volume_precentral	DKTatlas	lh	frontal	precentral
aparc-DKTatlas_lh_volume_precuneus	DKTatlas	lh	parietal	precuneus
aparc-DKTatlas_lh_volume_rostralanteriorcingulate	DKTatlas	lh	cingulate	rostralanteriorcingulate
aparc-DKTatlas_lh_volume_rostralmiddlefrontal	DKTatlas	lh	frontal	rostralmiddlefrontal
aparc-DKTatlas_lh_volume_superiorfrontal	DKTatlas	lh	frontal	superiorfrontal
aparc-DKTatlas_lh_volume_superiorparietal	DKTatlas	lh	parietal	superiorparietal
aparc-DKTatlas_lh_volume_superiortemporal	DKTatlas	lh	temporal	superiortemporal
aparc-DKTatlas_lh_volume_supramarginal	DKTatlas	lh	parietal	supramarginal
aparc-DKTatlas_lh_volume_transversetemporal	DKTatlas	lh	temporal	transversetemporal
aparc-DKTatlas_lh_volume_insula	DKTatlas	lh	insula	insula
aparc-DKTatlas_rh_volume_caudalanteriorcingulate	DKTatlas	rh	cingulate	caudalanteriorcingulate
aparc-DKTatlas_rh_volume_caudalmiddlefrontal	DKTatlas	rh	frontal	caudalmiddlefrontal
aparc-DKTatlas_rh_volume_cuneus	DKTatlas	rh	occipital	cuneus
aparc-DKTatlas_rh_volume_entorhinal	DKTatlas	rh	insula	entorhinal
aparc-DKTatlas_rh_volume_fusiform	DKTatlas	rh	occipitotemporal	fusiform
aparc-DKTatlas_rh_volume_inferiorparietal	DKTatlas	rh	parietal	inferiorparietal
aparc-DKTatlas_rh_volume_inferiortemporal	DKTatlas	rh	temporal	inferiortemporal
aparc-DKTatlas_rh_volume_isthmuscingulate	DKTatlas	rh	cingulate	isthmuscingulate
aparc-DKTatlas_rh_volume_lateraloccipital	DKTatlas	rh	occipital	lateraloccipital
aparc-DKTatlas_rh_volume_lateralorbitofrontal	DKTatlas	rh	frontal	lateralorbitofrontal
aparc-DKTatlas_rh_volume_lingual	DKTatlas	rh	occipital	lingual
aparc-DKTatlas_rh_volume_medialorbitofrontal	DKTatlas	rh	frontal	medialorbitofrontal
